flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7;1.938370490499924E7
2	EndingInv	17 620;18	HARD	100.0	null	1.1719041797527094E9;1.1719041797527094E9
3	wui per1 bud	334;339	HARD	41.0	null	3.065726E7;1.276948468470717E7
4	wui per2 bud	335;340	HARD	41.0	null	3.065726E7;1.3843860337876685E7
5	wui per3bud	336;341	HARD	41.0	null	3.065726E7;1.25694766E7
6	wui per4 bud	337;342	HARD	41.0	null	3.065726E7;1.25694766E7
7	wui per5 bud	338;343	HARD	41.0	null	3.065726E7;1.25694766E7
8	Nonwui per1 bud	334;344	HARD	23.0	null	3.065726E7;1.107319742003982E7
9	Nonwui per2 bud	335;345	HARD	23.0	null	3.065726E7;1.3054930891862521E7
10	Nonwui per3 bud	336;346	HARD	23.0	null	3.065726E7;1.5513326354600826E7
11	Nonwui per4 bud	337;347	HARD	23.0	null	3.065726E7;1.3133401726065103E7
12	Nonwui per5 bud	338;348	HARD	23.0	null	3.065726E7;1.524847165114101E7
