flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	7957295.906698912;7957295.906698912;7957295.906698912;7957295.906698912;8065475.244373537;8144720.800953588;8144720.800953588;8144720.800953588;8144720.800953588;8144720.800953588;8144720.800953588;8144720.800953588;8857002.821121885;1.0621163864233157E7;1.1083206257433336E7
2	Ending Inv	16 17;18	HARD	100.0	null	9.165075269645206E8;9.165075269645206E8
3	wui per 1 bud	34;49	HARD	41.0	null	3.065726E7;1.25694766E7
4	wui per 2 bud	35;50	HARD	41.0	null	3.065726E7;1.25694766E7
5	wui per 3 bud	36;51	HARD	41.0	null	3.065726E7;1.25694766E7
6	wui per 4 bud	37;52	HARD	41.0	null	3.065726E7;1.25694766E7
7	wui per 5 bud	38;53	HARD	41.0	null	3.065726E7;1.25694766E7
8	non wui per 1 bud	34;54	HARD	23.0	null	3.065726E7;1.044448253527202E7
9	non wui per 2 bud	35;55	HARD	23.0	null	3.065726E7;8632288.189716581
10	non wui per 3 bud	36;56	HARD	23.0	null	3.065726E7;1.273506164546248E7
11	non wui per 4 bud	37;57	HARD	23.0	null	3.065726E7;7051169.800000001
12	non wui per 5 bud	38;58	HARD	23.0	null	3.065726E7;1.207316555533166E7
13	D1 Vol 80% MAG 5-6	1;690	HARD	80.0	null	6.0E7;4.881296672022149E7
14	VegB Thin 1	706;726	HARD	null	70.0	87.14317250341652;48.68917250341653
15	VegB Thin 2	707;727	HARD	null	70.0	2803.614522501879;1962.5301657513153
16	VegB Thin 3	708;728	HARD	null	70.0	6958.594060824844;0.0
17	VegB Thin 4	709;729	HARD	null	70.0	806.4600225994467;0.0
18	VegB Thin 5	710;730	HARD	null	70.0	2878.939277848093;137.52129498156745
19	WDMon Thin 1	711;731	HARD	null	65.0	2025.5680489242054;969.822
20	WDMon Thin 2	712;732	HARD	null	65.0	0.0;0.0
21	WDMon Thin 3	713;733	HARD	null	65.0	0.0;0.0
22	WDMon Thin 4	714;734	HARD	null	65.0	990.6610533399751;643.9296846709839
23	WDMon Thin 5	715;735	HARD	null	65.0	179.42143769648416;0.0
24	CMNonLP Thin 1	716;736	HARD	null	70.0	827.744;201.744
25	CMNonLP Thin 2	717;737	HARD	null	70.0	1245.8063199999992;872.0644239999995
26	CMNonLP Thin 3	718;738	HARD	null	70.0	2014.0163352739664;647.5364503381952
27	CMNonLP Thin 4	719;739	HARD	null	70.0	682.3606141336572;477.65242989356005
28	CMNonLP Thin 5	720;740	HARD	null	70.0	2003.9154713173614;1402.740829922153
29	CM LP Thin 1	721;741	HARD	null	25.0	677.9425574309932;169.4856393577483
30	CM LP Thin 2	722;742	HARD	null	25.0	1540.332948;385.083237
31	CM LP Thin 3	723;743	HARD	null	25.0	0.0;0.0
32	CM LP Thin 4	724;744	HARD	null	25.0	1272.081817544553;318.0204543861382
33	CM LP Thin 5	725;745	HARD	null	25.0	0.0;0.0
34	D1 Volume proportion 33%	746;761	HARD	50.0	150.0	4057694.1122005717;6086541.168300858
35	D2 Volume Proportion 33%	747;762	HARD	50.0	150.0	4482820.743732912;3978676.5043859994
36	D3 Volume Proportion 33%	748;763	HARD	50.0	150.0	6269693.248803185;3134846.6244015926
37	D3 Volume Proportion 33%	749;764	HARD	50.0	150.0	3368623.8573922305;5052935.786088346
38	D4 Volume Proportion 33%	750;765	HARD	50.0	150.0	5591954.605439157;2795977.3027195786
