bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	bookeeping_var_id	bookeeping_var_name	bookeeping_var_value	bookeeping_var_reduced_cost	total_penalty
2	Timber Per 1	SOFT	1.0	9.99999999E8	1.0	null	null	0	y_0	5.803378813583021E8	0.0	Infinity
3	cuft harv 1 - time period 1	FREE	1.0	null	null	null	null	3	v_0	1.1151976164131346E8	0.0	0.0
4	cuft harv 2 - time period 2	FREE	1.0	null	null	null	null	4	v_1	1.1151976164131346E8	0.0	0.0
5	cuft harv 3 - time period 3	FREE	1.0	null	null	null	null	5	v_2	1.1151976164131346E8	0.0	0.0
6	cuft harv 4 - time period 4	FREE	1.0	null	null	null	null	6	v_3	1.1151976164131346E8	0.0	0.0
7	cuft harv 5 - time period 5	FREE	1.0	null	null	null	null	7	v_4	1.1151976164131346E8	0.0	0.0
8	cuft harv 6 - time period 6	FREE	1.0	null	null	null	null	8	v_5	1.1151976164131346E8	0.0	0.0
9	cuft harv 7 - time period 7	FREE	1.0	null	null	null	null	9	v_6	1.1151976164131346E8	0.0	0.0
10	cuft harv 8 - time period 8	FREE	1.0	null	null	null	null	10	v_7	1.1151976164131346E8	0.0	0.0
11	cuft harv 9 - time period 9	FREE	1.0	null	null	null	null	11	v_8	1.1151976164131346E8	0.0	0.0
12	cuft harv 10 - time period 10	FREE	1.0	null	null	null	null	12	v_9	1.1151976164131346E8	0.0	0.0
13	cuft harv 11 - time period 11	FREE	1.0	null	null	null	null	13	v_10	1.1151976164131346E8	0.0	0.0
14	cuft harv 12 - time period 12	FREE	1.0	null	null	null	null	14	v_11	1.1151976164131346E8	0.0	0.0
15	cuft harv 13 - time period 13	FREE	1.0	null	null	null	null	15	v_12	1.1151976164131346E8	0.0	0.0
16	cuft harv 14 - time period 14	FREE	1.0	null	null	null	null	16	v_13	1.1151976164131346E8	0.0	0.0
17	cuft harv 15 - time period 15	FREE	1.0	null	null	null	null	17	v_14	1.1151976164131346E8	0.0	0.0
18	AvgStandVol10-19	FREE	0.1	null	null	null	null	18	v_15	3.2047808910167526E10	0.0	0.0
19	BegPerVol 20	FREE	1.0	null	null	null	null	19	v_16	3.2047808910167526E10	0.0	0.0
20	No PB	FREE	1.0	null	null	0.0	null	20	v_17	-0.0	0.0	0.0
21	CustBF 1 - time period 1	FREE	1.0	null	null	null	null	21	v_18	1.8949448346445498E8	0.0	0.0
22	CustBF 2 - time period 2	FREE	1.0	null	null	null	null	22	v_19	1.8570459379516587E8	0.0	0.0
23	CustBF 3 - time period 3	FREE	1.0	null	null	null	null	23	v_20	1.8199050191926256E8	0.0	0.0
24	CustBF 4 - time period 4	FREE	1.0	null	null	null	null	24	v_21	1.894077258318737E8	0.0	0.0
25	CustBF 5 - time period 5	FREE	1.0	null	null	null	null	25	v_22	1.9968339400898865E8	0.0	0.0
26	CustBF 6 - time period 6	FREE	1.0	null	null	null	null	26	v_23	2.156139368172131E8	0.0	0.0
27	CustBF 7 - time period 7	FREE	1.0	null	null	null	null	27	v_24	2.29212882533036E8	0.0	0.0
28	CustBF 8 - time period 8	FREE	1.0	null	null	null	null	28	v_25	2.376612896872793E8	0.0	0.0
29	CustBF 9 - time period 9	FREE	1.0	null	null	null	null	29	v_26	2.3365863469675437E8	0.0	0.0
30	CustBF 10 - time period 10	FREE	1.0	null	null	null	null	30	v_27	2.4624599043200603E8	0.0	0.0
31	CustBF 11 - time period 11	FREE	1.0	null	null	null	null	31	v_28	2.508420606570774E8	0.0	0.0
32	CustBF 12 - time period 12	FREE	1.0	null	null	null	null	32	v_29	2.4790120092797273E8	0.0	0.0
33	CustBF 13 - time period 13	FREE	1.0	null	null	null	null	33	v_30	2.593920118662475E8	0.0	0.0
34	CustBF 14 - time period 14	FREE	1.0	null	null	null	null	34	v_31	2.6603365009024253E8	0.0	0.0
35	CustBF 15 - time period 15	FREE	1.0	null	null	null	null	35	v_32	2.953146393159487E8	0.0	0.0
36	GallBF 1 - time period 1	FREE	1.0	null	null	null	null	36	v_33	3.908433978938335E8	0.0	0.0
37	GallBF 2 - time period 2	FREE	1.0	null	null	null	null	37	v_34	3.8302652993595684E8	0.0	0.0
38	GallBF 3 - time period 3	FREE	1.0	null	null	null	null	38	v_35	3.8474821423250127E8	0.0	0.0
39	GallBF 4 - time period 4	FREE	1.0	null	null	null	null	39	v_36	3.7705324994785124E8	0.0	0.0
40	GallBF 5 - time period 5	FREE	1.0	null	null	null	null	40	v_37	3.695121849488942E8	0.0	0.0
41	GallBF 6 - time period 6	FREE	1.0	null	null	null	null	41	v_38	3.621219412499163E8	0.0	0.0
42	GallBF 7 - time period 7	FREE	1.0	null	null	null	null	42	v_39	3.5487950242491794E8	0.0	0.0
43	GallBF 8 - time period 8	FREE	1.0	null	null	null	null	43	v_40	3.477819123764196E8	0.0	0.0
44	GallBF 9 - time period 9	FREE	1.0	null	null	null	null	44	v_41	3.408262741288912E8	0.0	0.0
45	GallBF 10 - time period 10	FREE	1.0	null	null	null	null	45	v_42	3.3400974864631337E8	0.0	0.0
46	GallBF 11 - time period 11	FREE	1.0	null	null	null	null	46	v_43	3.273295536733871E8	0.0	0.0
47	GallBF 12 - time period 12	FREE	1.0	null	null	null	null	47	v_44	3.207829625999194E8	0.0	0.0
48	GallBF 13 - time period 13	FREE	1.0	null	null	null	null	48	v_45	3.1436730334792095E8	0.0	0.0
49	GallBF 14 - time period 14	FREE	1.0	null	null	null	null	49	v_46	3.080799572809626E8	0.0	0.0
50	GallBF 15 - time period 15	FREE	1.0	null	null	null	null	50	v_47	3.019183581353433E8	0.0	0.0
67	cuft harv 2 - time period 16	FREE	1.0	null	null	null	null	51	v_48	1.1151976164131346E8	0.0	0.0
